1,2,3,4,5,6
11,71,131,191,251,311
11,491,971,1451,1931,2411
41,461,881,1301,1721,2141
281,401,521,641,761,881
331,571,811,1051,1291,1531
401,1061,1721,2381,3041,3701
491,821,1151,1481,1811,2141
541,571,601,631,661,691
641,701,761,821,881,941
701,821,941,1061,1181,1301
811,1321,1831,2341,2851,3361
881,1091,1301,1511,1721,1931
13,103,193,283,373,463
13,223,433,643,853,1063
23,263,503,743,983,1223
43,463,883,1303,1723,2143
53,113,173,233,293,353
73,223,373,523,673,823
83,383,683,983,1283,1583
163,823,1483,2143,2803,3463
193,613,1033,1453,1873,2293
193,823,1453,2083,2713,3343
223,523,823,1123,1423,1723
293,1223,2153,3083,4013,4943
313,1153,1993,2833,3673,4513
503,593,683,773,863,953
613,1033,1453,1873,2293,2713
673,1213,1753,2293,2833,3373
743,1163,1583,2003,2423,2843
7,37,67,97,127,157
7,157,307,457,607,757
7,937,1867,2797,3727,4657
47,257,467,677,887,1097
97,607,1117,1627,2137,2647
97,937,1777,2617,3457,4297
107,137,167,197,227,257
127,457,787,1117,1447,1777
157,307,457,607,757,907
227,587,947,1307,1667,2027
257,467,677,887,1097,1307
277,967,1657,2347,3037,3727
317,977,1637,2297,2957,3617
397,577,757,937,1117,1297
557,827,1097,1367,1637,1907
577,937,1297,1657,2017,2377
587,887,1187,1487,1787,2087
149,599,1049,1499,1949,2399
179,389,599,809,1019,1229
179,809,1439,2069,2699,3329
199,409,619,829,1039,1249
229,619,1009,1399,1789,2179
239,359,479,599,719,839
269,839,1409,1979,2549,3119
359,389,419,449,479,509
379,919,1459,1999,2539,3079
389,599,809,1019,1229,1439
409,619,829,1039,1249,1459
419,929,1439,1949,2459,2969
619,829,1039,1249,1459,1669
829,1039,1249,1459,1669,1879
