1,2,3,4,5,6,7,8,9
521,10181,19841,29501,39161,48821,58481,68141,77801
2141,15581,29021,42461,55901,69341,82781,96221,109661
4091,12071,20051,28031,36011,43991,51971,59951,67931
4721,7451,10181,12911,15641,18371,21101,23831,26561
7151,14081,21011,27941,34871,41801,48731,55661,62591
10531,22501,34471,46441,58411,70381,82351,94321,106291
10861,11701,12541,13381,14221,15061,15901,16741,17581
433,3583,6733,9883,13033,16183,19333,22483,25633
2063,3323,4583,5843,7103,8363,9623,10883,12143
3343,16993,30643,44293,57943,71593,85243,98893,112543
3413,8663,13913,19163,24413,29663,34913,40163,45413
3823,6133,8443,10753,13063,15373,17683,19993,22303
4673,16223,27773,39323,50873,62423,73973,85523,97073
6043,6883,7723,8563,9403,10243,11083,11923,12763
6143,16433,26723,37013,47303,57593,67883,78173,88463
6553,14323,22093,29863,37633,45403,53173,60943,68713
17,6947,13877,20807,27737,34667,41597,48527,55457
137,8117,16097,24077,32057,40037,48017,55997,63977
937,10177,19417,28657,37897,47137,56377,65617,74857
11927,14867,17807,20747,23687,26627,29567,32507,35447
12547,16747,20947,25147,29347,33547,37747,41947,46147
199,409,619,829,1039,1249,1459,1669,1879
409,619,829,1039,1249,1459,1669,1879,2089
1699,5689,9679,13669,17659,21649,25639,29629,33619
3499,3709,3919,4129,4339,4549,4759,4969,5179
6949,17029,27109,37189,47269,57349,67429,77509,87589
9619,21169,32719,44269,55819,67369,78919,90469,102019
10859,11069,11279,11489,11699,11909,12119,12329,12539
13469,20399,27329,34259,41189,48119,55049,61979,68909
