1,2,3,4,5,6,7,8,9,10
4831,35281,65731,96181,126631,157081,187531,217981,248431,278881
25471,42901,60331,77761,95191,112621,130051,147481,164911,182341
45131,102461,159791,217121,274451,331781,389111,446441,503771,561101
52571,110321,168071,225821,283571,341321,399071,456821,514571,572321
53681,62921,72161,81401,90641,99881,109121,118361,127601,136841
57241,102811,148381,193951,239521,285091,330661,376231,421801,467371
443,32783,65123,97463,129803,162143,194483,226823,259163,291503
23143,53173,83203,113233,143263,173293,203323,233353,263383,293413
34913,37013,39113,41213,43313,45413,47513,49613,51713,53813
50123,100103,150083,200063,250043,300023,350003,399983,449963,499943
53173,83203,113233,143263,173293,203323,233353,263383,293413,323443
1847,17807,33767,49727,65687,81647,97607,113567,129527,145487
5827,37537,69247,100957,132667,164377,196087,227797,259507,291217
6007,36037,66067,96097,126127,156157,186187,216217,246247,276277
30427,35257,40087,44917,49747,54577,59407,64237,69067,73897
199,409,619,829,1039,1249,1459,1669,1879,2089
22679,72869,123059,173249,223439,273629,323819,374009,424199,474389
28549,36319,44089,51859,59629,67399,75169,82939,90709,98479
52879,53299,53719,54139,54559,54979,55399,55819,56239,56659
