x1,x2,x3,x4,x5,x6,x7,x8
1,2,3,4,5,6,7,8
881,1091,1301,1511,1721,1931,2141,2351
1091,3821,6551,9281,12011,14741,17471,20201
1531,6151,10771,15391,20011,24631,29251,33871
4721,7451,10181,12911,15641,18371,21101,23831
103,4723,9343,13963,18583,23203,27823,32443
433,3583,6733,9883,13033,16183,19333,22483
2063,3323,4583,5843,7103,8363,9623,10883
2693,4583,6473,8363,10253,12143,14033,15923
3083,7703,12323,16943,21563,26183,30803,35423
3323,4583,5843,7103,8363,9623,10883,12143
3583,6733,9883,13033,16183,19333,22483,25633
3823,6133,8443,10753,13063,15373,17683,19993
1637,2267,2897,3527,4157,4787,5417,6047
1847,3947,6047,8147,10247,12347,14447,16547
3257,7877,12497,17117,21737,26357,30977,35597
3907,8737,13567,18397,23227,28057,32887,37717
199,409,619,829,1039,1249,1459,1669
409,619,829,1039,1249,1459,1669,1879
619,829,1039,1249,1459,1669,1879,2089
1019,3329,5639,7949,10259,12569,14879,17189
1289,2969,4649,6329,8009,9689,11369,13049
1699,5689,9679,13669,17659,21649,25639,29629
2239,2659,3079,3499,3919,4339,4759,5179
2909,6899,10889,14879,18869,22859,26849,30839
3499,3709,3919,4129,4339,4549,4759,4969
3709,3919,4129,4339,4549,4759,4969,5179
