x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
1,2,3,4,5,6,7,8,9,10,11
31741,207301,382861,558421,733981,909541,1085101,1260661,1436221,1611781,1787341
68261,294641,521021,747401,973781,1200161,1426541,1652921,1879301,2105681,2332061
99881,233861,367841,501821,635801,769781,903761,1037741,1171721,1305701,1439681
166601,178151,189701,201251,212801,224351,235901,247451,259001,270551,282101
172681,306661,440641,574621,708601,842581,976561,1110541,1244521,1378501,1512481
178151,189701,201251,212801,224351,235901,247451,259001,270551,282101,293651
211811,458981,706151,953321,1200491,1447661,1694831,1942001,2189171,2436341,2683511
4943,65003,125063,185123,245183,305243,365303,425363,485423,545483,605543
23143,53173,83203,113233,143263,173293,203323,233353,263383,293413,323443
53173,83203,113233,143263,173293,203323,233353,263383,293413,323443,353473
65003,125063,185123,245183,305243,365303,425363,485423,545483,605543,665603
125063,185123,245183,305243,365303,425363,485423,545483,605543,665603,725663
218723,308813,398903,488993,579083,669173,759263,849353,939443,1029533,1119623
252253,409333,566413,723493,880573,1037653,1194733,1351813,1508893,1665973,1823053
270953,349493,428033,506573,585113,663653,742193,820733,899273,977813,1056353
3617,213827,424037,634247,844457,1054667,1264877,1475087,1685297,1895507,2105717
75307,105337,135367,165397,195427,225457,255487,285517,315547,345577,375607
110437,124297,138157,152017,165877,179737,193597,207457,221317,235177,249037
124297,138157,152017,165877,179737,193597,207457,221317,235177,249037,262897
152947,166807,180667,194527,208387,222247,236107,249967,263827,277687,291547
166807,180667,194527,208387,222247,236107,249967,263827,277687,291547,305407
241907,267317,292727,318137,343547,368957,394367,419777,445187,470597,496007
276767,436157,595547,754937,914327,1073717,1233107,1392497,1551887,1711277,1870667
286927,541027,795127,1049227,1303327,1557427,1811527,2065627,2319727,2573827,2827927
74729,197159,319589,442019,564449,686879,809309,931739,1054169,1176599,1299029
167429,227489,287549,347609,407669,467729,527789,587849,647909,707969,768029
170669,325439,480209,634979,789749,944519,1099289,1254059,1408829,1563599,1718369
182549,353489,524429,695369,866309,1037249,1208189,1379129,1550069,1721009,1891949
299909,443129,586349,729569,872789,1016009,1159229,1302449,1445669,1588889,1732109
